iter	Passed	Remaining
0	143	143733
1	145	72816
2	148	49194
3	149	37337
4	151	30147
5	152	25344
6	154	21911
7	156	19462
8	159	17518
9	161	15939
10	163	14679
11	165	13615
12	166	12651
13	167	11804
14	169	11128
15	171	10521
16	172	9976
17	173	9446
18	174	8986
19	174	8567
20	176	8216
21	177	7903
22	178	7585
23	179	7298
24	180	7035
25	181	6788
26	181	6548
27	182	6328
28	183	6130
29	184	5959
30	185	5792
31	186	5630
32	186	5479
33	187	5333
34	188	5191
35	188	5056
36	189	4933
37	190	4815
38	190	4704
39	191	4598
40	192	4498
41	192	4399
42	193	4306
43	194	4217
44	194	4133
45	195	4055
46	196	3975
47	196	3897
48	197	3826
49	197	3757
50	199	3704
51	199	3642
52	201	3591
53	202	3550
54	203	3499
55	204	3445
56	204	3391
57	205	3337
58	205	3284
59	206	3232
60	206	3183
61	207	3135
62	207	3089
63	208	3044
64	208	3000
65	209	2958
66	209	2917
67	209	2877
68	210	2841
69	211	2803
70	211	2766
71	212	2735
72	212	2703
73	213	2671
74	214	2645
75	215	2619
76	216	2591
77	216	2563
78	217	2535
79	218	2508
80	218	2481
81	219	2455
82	219	2427
83	220	2403
84	221	2379
85	221	2356
86	222	2333
87	222	2309
88	223	2285
89	223	2262
90	224	2240
91	224	2220
92	225	2198
93	225	2176
94	226	2156
95	227	2139
96	228	2123
97	229	2108
98	231	2104
99	232	2089
100	232	2072
101	233	2055
102	234	2038
103	234	2022
104	235	2005
105	235	1989
106	236	1974
107	237	1958
108	237	1941
109	237	1925
110	238	1909
111	238	1893
112	239	1878
113	239	1863
114	240	1848
115	240	1836
116	241	1822
117	241	1808
118	242	1794
119	242	1781
120	243	1767
121	243	1753
122	244	1740
123	244	1727
124	245	1715
125	245	1702
126	245	1689
127	246	1677
128	246	1667
129	247	1657
130	249	1655
131	250	1650
132	251	1640
133	252	1630
134	252	1619
135	253	1609
136	253	1599
137	254	1589
138	254	1578
139	255	1569
140	256	1561
141	256	1551
142	257	1543
143	258	1533
144	258	1524
145	258	1514
146	259	1505
147	259	1495
148	260	1486
149	260	1477
150	261	1468
151	261	1461
152	262	1454
153	263	1447
154	264	1441
155	265	1433
156	266	1430
157	267	1424
158	268	1417
159	268	1410
160	268	1401
161	269	1393
162	269	1386
163	270	1380
164	271	1373
165	271	1366
166	272	1359
167	273	1352
168	273	1345
169	274	1338
170	274	1331
171	275	1324
172	275	1317
173	276	1310
174	276	1304
175	277	1298
176	278	1294
177	279	1289
178	280	1284
179	280	1278
180	281	1271
181	281	1265
182	281	1258
183	282	1252
184	282	1245
185	283	1239
186	283	1233
187	284	1227
188	284	1222
189	285	1217
190	286	1212
191	286	1206
192	287	1200
193	287	1194
194	287	1188
195	288	1183
196	288	1177
197	289	1171
198	289	1166
199	290	1162
200	291	1157
201	291	1152
202	292	1147
203	292	1142
204	293	1136
205	293	1131
206	294	1126
207	294	1121
208	294	1116
209	295	1111
210	295	1106
211	296	1101
212	296	1096
213	297	1091
214	297	1086
215	297	1081
216	298	1077
